Gene,Drug,Interaction Score,Interaction Type
CAMK4,ESTRADIOL 3-BENZOATE,5.220379855888553,Unknown
CAMK4,GEMCITABINE,0.5674325930313645,Unknown
MAP3K9,URMC-099,0.725052757762299,inhibitor (INHIBITORY)
MAP3K9,P505-15,1.087579136643448,inhibitor (INHIBITORY)
MAP3K9,COMPOUND 8E [PMID: 24432909],0.9322106885515274,inhibitor (INHIBITORY)
MAP3K9,APITOLISIB,0.2509798007638728,inhibitor (INHIBITORY)
MAP3K9,CEP-1347,0.725052757762299,inhibitor (INHIBITORY)
MAP3K9,CEP-1347,2.610189927944276,inhibitor (INHIBITORY)
MAP3K9,CERDULATINIB,0.5437895683217243,inhibitor (INHIBITORY)
MAP3K9,GNE-3511,1.087579136643448,inhibitor (INHIBITORY)
GRK3,GPR15L,1.450105515524598,agonist (ACTIVATING)
GRK3,SRIF-28,0.5437895683217243,agonist (ACTIVATING)
GRK3,ERAS-5024,2.175158273286897,agonist (ACTIVATING)
GRK3,COMPOUND 2 [PMID: 19230660],4.350316546573794,agonist (ACTIVATING)
GRK3,TAN-67,4.350316546573794,agonist (ACTIVATING)
GRK3,COMPOUND 48/80,4.350316546573794,agonist (ACTIVATING)
GRK3,PAMP-20,4.350316546573794,agonist (ACTIVATING)
GRK3,QWF,4.350316546573794,inhibitor (INHIBITORY)
GRK3,(R)-ZINC-3573,4.350316546573794,agonist (ACTIVATING)
GRK3,SUBSTANCE P,1.087579136643448,agonist (ACTIVATING)
GRK3,CORTISTATIN-14,0.725052757762299,agonist (ACTIVATING)
GRK3,PAMP-12 (HUMAN),4.350316546573794,agonist (ACTIVATING)
CDK5R1,PURPUROGALLIN,0.2071579307892282,Unknown
CDK5R1,CHEMBL:CHEMBL1276446,1.864421377103054,Unknown
CDK5R1,CHEMBL:CHEMBL300389,1.242947584735369,Unknown
CDK5R1,HAEMATOXYLIN,0.2868340580158546,Unknown
CDK5R1,SB-415286,0.3728842754206109,Unknown
CDK5R1,CHEMBL:CHEMBL261692,1.864421377103054,Unknown
CDK5R1,CHEMBL:CHEMBL1406948,1.491537101682443,Unknown
IL13RA1,CINTREDEKIN BESUDOTOX,17.40126618629517,binder (None)
IL13RA1,EBLASAKIMAB,26.10189927944276,antibody (INHIBITORY)
UGCG,VENGLUSTAT,5.220379855888553,inhibitor (INHIBITORY)
UGCG,PRALICIGUAT,1.04407597117771,Unknown
UGCG,ADRIAMYCIN,0.5495136690409003,Unknown
UGCG,ELIGLUSTAT,2.610189927944276,Unknown
UGCG,MIGLUSTAT,6.960506474518071,inhibitor (INHIBITORY)
UGCG,NITRIC OXIDE,0.5220379855888553,Unknown
UGCG,LUCERASTAT,5.220379855888553,inhibitor (INHIBITORY)
UGCG,ELIGLUSTAT TARTRATE,10.4407597117771,inhibitor (INHIBITORY)
UGCG,SODIUM NITROPRUSSIDE,1.04407597117771,Unknown
UGCG,NITROGLYCERIN,0.4015676812221964,Unknown
PRKX,CENISERTIB,0.03403115942560986,Unknown
PRKX,GW843682X,0.1029660721082554,Unknown
PRKX,CHEMBL:CHEMBL1997335,0.09561135267195152,Unknown
PRKX,PF-562271,0.03718219270575892,Unknown
PRKX,Y-27632,2.677117874814642,Unknown
PRKX,CHEMBL:CHEMBL379975,0.09126538209595374,Unknown
PRKX,GSK-269962A,0.09126538209595374,Unknown
PRKX,PHA-767491,0.06084358806396915,Unknown
PRKX,DOVITINIB,0.0397591763586333,Unknown
PRKX,PD-0166285,0.07722455408119162,Unknown
PRKX,HYDROXYFASUDIL,8.031353624443929,Unknown
PRKX,PALBOCICLIB,0.07873876102396007,Unknown
PRKX,FASUDIL,0.2769432284291009,Unknown
DCN,RECOMBINANT INTERFERON,0.3824454106878061,Unknown
DCN,MMP13 TRACER  [18F]5J,2.485895169470739,inhibitor (INHIBITORY)
DCN,RECOMBINANT 70-KD HEAT-SHOCK PROTEIN,1.491537101682443,Unknown
DCN,CM-352,3.728842754206109,inhibitor (INHIBITORY)
DCN,MARIMASTAT,0.4971790338941479,inhibitor (INHIBITORY)
DCN,ASCORBIC ACID,0.5736681160317092,Unknown
DCN,SIROLIMUS,0.2571615692555937,Unknown
HIPK2,CHEMBL:CHEMBL379975,0.0741531229529624,Unknown
HIPK2,ILORASERTIB,0.02812704663733056,Unknown
HIPK2,BAY 61-3606,0.0795789612178133,Unknown
HIPK2,TAMATINIB,0.04028070876457217,Unknown
HIPK2,LINIFANIB,0.04078421762412932,Unknown
HIPK2,CYC-116,0.03363646814361181,Unknown
HIPK2,GW441756X,0.05019596015277455,Unknown
HIPK2,PHA-767491,0.04943541530197493,Unknown
HIPK2,SP-600125,0.03665997089809377,Unknown
