,logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneSymbol
210078_s_at,-0.691113203,6.129827983,-5.509113168,3.79E-06,0.180648117,3.421390121,KCNAB1
225959_s_at,-0.601643949,6.554827437,-5.322908086,6.61E-06,0.180648117,3.002134245,ZNRF1
1553718_at,-0.959972691,3.914700041,-4.854194825,2.67E-05,0.251231955,1.939688972,ZNF548
241871_at,-0.632423817,4.033636577,-4.701224079,4.21E-05,0.251231955,1.592170593,CAMK4
1553108_at,-0.742761165,3.470767155,-4.695670312,4.28E-05,0.251231955,1.579557713,C5orf24
214823_at,-0.715579792,2.869929147,-4.682859942,4.44E-05,0.251231955,1.550466729,ZNF204P
230923_at,-0.756029891,2.290227903,-4.658144321,4.78E-05,0.251231955,1.494348976,TAFA1
229770_at,-0.614968673,5.477502668,-4.62396689,5.29E-05,0.251231955,1.416770189,GLT1D1
222790_s_at,-0.510504162,1.870020999,-4.619324629,5.36E-05,0.251231955,1.406235065,RSBN1
203820_s_at,-0.515854565,2.011710358,-4.619162167,5.36E-05,0.251231955,1.405866384,IGF2BP3
227891_s_at,0.595953988,4.463116073,4.609723979,5.51E-05,0.251231955,1.384449269,TAF15
1554001_at,-0.929562469,7.110672123,-4.526778665,7.04E-05,0.296090701,1.196352479,TRIM37
224036_s_at,-0.605334048,3.288258297,-4.501384836,7.59E-05,0.296252618,1.138818109,LMBR1
1556366_s_at,-0.811597928,2.704709448,-4.356769665,0.000115879,0.336416099,0.811781144,LY86-AS1
224575_at,-0.411698084,4.661044164,-4.353778821,0.000116896,0.336416099,0.805030537,BRK1
1556211_a_at,-0.500821943,2.136522451,-4.334521537,0.000123655,0.336416099,0.761579536,AIG1
228249_at,-0.677554731,4.998531185,-4.329966236,0.000125309,0.336416099,0.751304954,IFTAP
228747_at,-0.48644466,7.773326635,-4.311760545,0.00013214,0.336416099,0.710256329,SEC61A2
213927_at,-0.598939376,6.307030323,-4.294339513,0.000139019,0.336416099,0.670999582,MAP3K9
228771_at,-0.785473598,3.806078594,-4.286408479,0.000142267,0.336416099,0.653135288,GRK3
215143_at,-0.734953754,5.578306723,-4.234588372,0.000165396,0.336416099,0.536536099,DPY19L2P2
226003_at,-0.880173615,7.098471121,-4.230894157,0.000167179,0.336416099,0.528232351,KIF21A
217050_at,-0.468287755,3.71107289,-4.223438815,0.000170835,0.336416099,0.511478044,DIAPH2-AS1
244834_at,-0.60649359,6.637123898,-4.220199231,0.000172448,0.336416099,0.504199275,CPLANE2
213338_at,-0.740767004,4.499566713,-4.215538117,0.000174796,0.336416099,0.493728205,TMEM158
200623_s_at,-0.666133254,9.501251961,-4.205325021,0.000180049,0.336416099,0.470791521,CALM3
230551_at,-0.533022343,7.341877258,-4.195386992,0.000185309,0.336416099,0.44848165,KSR2
241672_at,-0.901438903,2.569820376,-4.154619002,0.000208512,0.336416099,0.357058676,SERTM1
204995_at,-0.589042881,8.315048752,-4.144569819,0.000214656,0.336416099,0.334548042,CDK5R1
211612_s_at,0.69502459,3.344576233,4.118222097,0.000231618,0.336416099,0.275576682,IL13RA1
242239_at,0.516178253,6.608550838,4.108296671,0.000238343,0.336416099,0.253380411,NSUN6
224967_at,-0.571727874,3.80795048,-4.07940722,0.000259022,0.336416099,0.188835405,UGCG
204060_s_at,0.534011436,3.714119786,4.062636481,0.000271822,0.336416099,0.151408711,PRKX
212731_at,-0.643713404,5.676238641,-4.060548362,0.000273459,0.336416099,0.146750972,ANKRD46
221626_at,0.415871547,6.530124985,4.057530635,0.000275841,0.336416099,0.140020547,ZNF506
242586_at,-0.686853131,2.613243583,-4.043339132,0.000287317,0.336416099,0.10838351,FSD1L
