Gene,Drug,Interaction Score,Interaction Type,category
GRIN2A,MEMANTINE HYDROCHLORIDE,0.4203204392824922,negative modulator (INHIBITORY),antidementia
NR1I2,MEMANTINE HYDROCHLORIDE,0.1026623373822724,Unknown,antidementia
GRIN3A,MEMANTINE HYDROCHLORIDE,0.6000436615963854,negative modulator (INHIBITORY),antidementia
GRIN2B,MEMANTINE HYDROCHLORIDE,0.2230931562345535,negative modulator (INHIBITORY),antidementia
PRKCE,RIVASTIGMINE,0.7102557627059257,Unknown,antidementia
PRKCE,DONEPEZIL,0.6214737923676849,Unknown,antidementia
PRKCE,GALANTAMINE,0.6214737923676849,Unknown,antidementia
BDNF,DONEPEZIL,0.106105281623751,Unknown,antidementia
IDH1,GALANTAMINE,0.0158385311161667,Unknown,antidementia
GRIN2D,MEMANTINE HYDROCHLORIDE,0.2148304467443848,negative modulator (INHIBITORY),antidementia
CYP3A4,TACRINE,0.0166838601977902,Unknown,antidementia
ANKS1B,AMISULPRIDE,1.003919203055491,Unknown,antipsychotic
MAPK1,PIMOZIDE,0.0087737476569555,Unknown,antipsychotic
MAPK1,TRIFLUOPERAZINE,0.0099435806778829,Unknown,antipsychotic
GRIN2A,HALOPERIDOL DECANOATE,0.0199099155449601,Unknown,antipsychotic
RGS4,OLANZAPINE,0.0134684722804142,Unknown,antipsychotic
RGS4,TRIFLUOPERAZINE,0.0170600648885246,Unknown,antipsychotic
RGS4,ZIPRASIDONE,0.0330194804294026,Unknown,antipsychotic
RGS4,PERPHENAZINE,0.03936938051198,Unknown,antipsychotic
RGS4,QUETIAPINE FUMARATE,0.0284334414808744,Unknown,antipsychotic
AMD1,SERTINDOLE,0.0285735076950659,inhibitor (INHIBITORY),antipsychotic
AMD1,TRIFLUOPERAZINE,0.0200014553865461,inhibitor (INHIBITORY),antipsychotic
AMD1,OLANZAPINE,0.0078953113367945,inhibitor (INHIBITORY),antipsychotic
AMD1,PIMOZIDE,0.0176483429881289,inhibitor (INHIBITORY),antipsychotic
AMD1,CHLORPROTHIXENE,0.0600043661596385,inhibitor (INHIBITORY),antipsychotic
AMD1,THIORIDAZINE,0.0206911607447029,inhibitor (INHIBITORY),antipsychotic
AMD1,THIOTHIXENE,0.1000072769327309,inhibitor (INHIBITORY),antipsychotic
AMD1,ARIPIPRAZOLE LAUROXIL,0.0315812453471781,inhibitor (INHIBITORY),antipsychotic
AMD1,ZIPRASIDONE,0.0193562471482704,inhibitor (INHIBITORY),antipsychotic
AMD1,QUETIAPINE FUMARATE,0.0166678794887884,inhibitor (INHIBITORY),antipsychotic
AMD1,FLUSPIRILENE,0.0272747118907447,inhibitor (INHIBITORY),antipsychotic
AMD1,CLOZAPINE,0.0061860171298596,inhibitor (INHIBITORY),antipsychotic
AMD1,MOLINDONE,0.1000072769327309,inhibitor (INHIBITORY),antipsychotic
AMD1,PERPHENAZINE,0.0230786023690917,inhibitor (INHIBITORY),antipsychotic
AMD1,CHLORPROMAZINE,0.0162173962593617,inhibitor (INHIBITORY),antipsychotic
AMD1,HALOPERIDOL DECANOATE,0.0078953113367945,inhibitor (INHIBITORY),antipsychotic
AMD1,FLUPHENAZINE HYDROCHLORIDE,0.0272747118907447,inhibitor (INHIBITORY),antipsychotic
AMD1,LOXAPINE,0.0461572047381834,inhibitor (INHIBITORY),antipsychotic
GFAP,LITHIUM,0.0591879802254938,Unknown,antipsychotic
HTR2A,THIORIDAZINE,0.0519268553304564,inhibitor (INHIBITORY),antipsychotic
HTR2A,BREXPIPRAZOLE,0.1434170290079273,inhibitor (INHIBITORY),antipsychotic
HTR2A,CHLORPROMAZINE HYDROCHLORIDE,0.029527035383985,inhibitor (INHIBITORY),antipsychotic
HTR2A,LOXAPINE,0.0772245540811916,inhibitor (INHIBITORY),antipsychotic
HTR2A,CHLORPROTHIXENE,0.1505878804583236,inhibitor (INHIBITORY),antipsychotic
HTR2A,CHLORPROMAZINE,0.013566475716966,inhibitor (INHIBITORY),antipsychotic
HTR2A,ARIPIPRAZOLE LAUROXIL,0.0792567791885914,inhibitor (INHIBITORY),antipsychotic
HTR2A,HALOPERIDOL DECANOATE,0.0066047315990492,inhibitor (INHIBITORY),antipsychotic
HTR2A,ZIPRASIDONE,0.0485767356317173,inhibitor (INHIBITORY),antipsychotic
HTR2A,QUETIAPINE FUMARATE,0.0418299667939787,inhibitor (INHIBITORY),antipsychotic
HTR2A,LOXAPINE HYDROCHLORIDE,0.1003919203055491,inhibitor (INHIBITORY),antipsychotic
HTR2A,DROPERIDOL,0.0836599335879575,inhibitor (INHIBITORY),antipsychotic
HTR2A,PALIPERIDONE,0.1254899003819364,inhibitor (INHIBITORY),antipsychotic
HTR2A,THIOTHIXENE,0.0836599335879575,inhibitor (INHIBITORY),antipsychotic
HTR2A,LOXAPINE SUCCINATE,0.0836599335879575,inhibitor (INHIBITORY),antipsychotic
HTR2A,HALOPERIDOL LACTATE,0.1254899003819364,inhibitor (INHIBITORY),antipsychotic
HTR2A,THIOTHIXENE HYDROCHLORIDE,0.1673198671759151,inhibitor (INHIBITORY),antipsychotic
HTR2A,PROMAZINE,0.0528378527923942,Unknown,antipsychotic
HTR2A,MOLINDONE,0.0836599335879575,inhibitor (INHIBITORY),antipsychotic
HTR2A,LITHIUM,0.0239028381679878,Unknown,antipsychotic
HTR2A,PIMOZIDE,0.0147635176919925,inhibitor (INHIBITORY),antipsychotic
HTR2A,PROMAZINE HYDROCHLORIDE,0.0627449501909682,inhibitor (INHIBITORY),antipsychotic
HTR2A,AMISULPRIDE,0.0193061385202979,inhibitor (INHIBITORY),antipsychotic
HTR2A,SERTINDOLE,0.0717085145039636,inhibitor (INHIBITORY),antipsychotic
HTR2A,MESORIDAZINE BESYLATE,0.2509798007638728,inhibitor (INHIBITORY),antipsychotic
HTR2A,TRIFLUOPERAZINE HYDROCHLORIDE,0.0456326910479768,inhibitor (INHIBITORY),antipsychotic
HTR2A,ILOPERIDONE,0.0717085145039636,inhibitor (INHIBITORY),antipsychotic
HTR2A,OLANZAPINE PAMOATE,0.1003919203055491,inhibitor (INHIBITORY),antipsychotic
HTR2A,CLOZAPINE,0.0413987300229068,inhibitor (INHIBITORY),antipsychotic
HTR2A,MESORIDAZINE,0.1003919203055491,Unknown,antipsychotic
HTR2A,PROCHLORPERAZINE,0.0179271286259909,Unknown,antipsychotic
HTR2A,OLANZAPINE,0.0198141947971478,inhibitor (INHIBITORY),antipsychotic
DPP6,HALOPERIDOL DECANOATE,0.0269369445608284,Unknown,antipsychotic
SNAP25,AMISULPRIDE,0.6692794687036607,Unknown,antipsychotic
PDE4D,QUETIAPINE FUMARATE,0.0690526435964094,Unknown,antipsychotic
IMPA1,LITHIUM CITRATE,8.700633093147589,inhibitor (INHIBITORY),antipsychotic
