Gene,Variant,Drug
KCNAB1,rs6770663,bevacizumab
CAMK4,rs306104,gemcitabine
GRK3,rs5761122,opioids
CD44,rs1467558,acetaminophen
MACROD2,rs76026520,hydrocodone
MACROD2,rs76026520,oxycodone
ANKS1B,rs17028658,antineoplastic agents
ANKS1B,rs17028658,corticosteroids
ANKS1B,rs7968606,amisulpride
ANKS1B,rs2133896,ethanol
ANKS1B,rs2133896,heroin
ANKS1B,rs2133896,methamphetamine
NRXN1,rs4971678,duloxetine
NRXN1,rs10490162,antipsychotics
NRXN1,rs12467557,antipsychotics
NRXN1,rs6721498,nicotine
NRXN1,rs2193225,nicotine
NRXN1,rs2193225,nicotine
GLRB,rs17035723,acamprosate
THRB,rs892940,salbutamol
BCL11A,rs4671393,hydroxyurea
BCL11A,rs6545816,hydroxyurea
BCL11A,rs766432,hydroxyurea
BCL11A,rs6706648,hydroxyurea
BCL11A,rs1427407,hydroxyurea
BCL11A,rs766432,hydroxyurea
JAK2,rs12343867,Tumor necrosis factor alpha (TNF-alpha) inhibitors
GABRA2,rs279858,sevoflurane
GABRA2,rs279847,dexmedetomidine
GABRA2,rs11503014,propofol
GABRA2,rs11503014,cocaine
MAPK1,rs6928,antidepressants
MAPK1,rs13515,antidepressants
MAPK1,rs8136867,antidepressants
MAPK1,rs1803545,glyburide
MAPK1,rs3729910,glyburide
MAPK1,rs8136867,antidepressants
GRIN2A,rs2229193,methylphenidate
NEFM,rs1379357,antipsychotics
NEFM,rs1457266,antipsychotics
CACNA2D3,rs11130424,radiotherapy
CACNA2D3,rs4505744,antipsychotics
CACNA2D3,rs7427395,antipsychotics
PRKCB,rs11649514,atenolol
PRKCB,rs9922316,dexmedetomidine
HINT1,rs2278060,nicotine
HINT1,rs2551038,opioids
HINT1,rs3852209,opioids
HINT1,rs3852209,nicotine
HINT1,rs4696,daclatasvir
HINT1,rs4696,sofosbuvir
HINT1,rs7728773,daclatasvir
HINT1,rs7728773,sofosbuvir
HINT1,rs3852209,nicotine
HINT1,rs2278060,nicotine
HINT1,rs3864283,opioids
RGS4,rs2842030,risperidone
RGS4,rs951436,antipsychotics
RGS4,rs951439,quetiapine
RGS4,rs951439,ziprasidone
RGS4,rs10917670,risperidone
RGS4,rs2842030,olanzapine
RGS4,rs2842030,perphenazine
RGS4,rs951439,olanzapine
RGS4,rs951439,perphenazine
RGS4,rs951439,risperidone
RGS4,rs2661319,risperidone
RGS4,rs951439,olanzapine
CALM1,rs12885713,cyclosporine
TPH2,rs1487275,methadone
TPH2,rs7305115,methadone
TPH2,rs1386493,methadone
TPH2,rs11178998,venlafaxine
TPH2,rs11178997,venlafaxine
TPH2,rs4570625,citalopram
TPH2,rs4290270,disulfiram
TPH2,rs10879346,antidepressants
TPH2,rs10506645,methadone
TPH2,rs4760820,methadone
TPH2,rs9325202,methadone
TPH2,rs2171363,methadone
TPH2,rs2129575,methadone
TPH2,rs4570625,venlafaxine
TPH2,rs1843809,methylphenidate
TPH2,rs4570625,methylphenidate
TPH2,rs4570625,fluoxetine
TPH2,rs1487278,mirtazapine
TPH2,rs1487278,venlafaxine
TPH2,rs1386494,citalopram
TPH2,rs1386494,fluoxetine
TPH2,rs1386494,paroxetine
TPH2,rs7305115,atazanavir
TPH2,rs7305115,efavirenz
TPH2,rs4570625,atazanavir
TPH2,rs4570625,efavirenz
TPH2,rs1386493,atazanavir
TPH2,rs1386493,efavirenz
HS6ST3,rs118042719,tamoxifen
GRIA3,rs4825476,citalopram
GRIA3,rs502434,Selective serotonin reuptake inhibitors
GRIA3,rs502434,venlafaxine
GRIA3,rs3761554,Selective serotonin reuptake inhibitors
GRIA3,rs3761554,venlafaxine
GRIA3,rs3761555,Selective serotonin reuptake inhibitors
GRIA3,rs3761555,venlafaxine
KCNJ6,rs6517442,opioids
KCNJ6,rs2070995,morphine
KCNJ6,rs2070995,oxycodone
KCNJ6,rs6517442,morphine
KCNJ6,rs6517442,remifentanil
KCNJ6,rs6517442,remifentanil
KCNJ6,rs2070995,opioids
KCNJ6,rs2070995,methadone
KCNJ6,rs6517442,morphine
KCNJ6,rs2070995,opioids
KCNJ6,rs2070995,methadone
KCNJ6,rs2835859,fentanyl
KCNJ6,rs2070995,opioids
TBL1XR1,rs57449396,allopurinol
CACNA1B,rs2739260,nicardipine
CACNA1B,rs2739260,nimodipine
CACNA1B,rs2739258,nicardipine
CACNA1B,rs2739258,nimodipine
CACNA1B,rs2229949,antipsychotics
DOK5,rs117532069,cyclophosphamide
DOK5,rs117532069,cytarabine
DOK5,rs117532069,daunorubicin
DOK5,rs117532069,dexamethasone
DOK5,rs117532069,doxorubicin
DOK5,rs117532069,methotrexate
DOK5,rs117532069,pegaspargase
DOK5,rs117532069,prednisone
DOK5,rs117532069,thioguanine
DOK5,rs117532069,vincristine
EFR3A,rs4736529,aspirin
EFR3A,rs4736529,clopidogrel
PHACTR1,rs4615376,Selective serotonin reuptake inhibitors
PHACTR1,rs9349379,Selective serotonin (5HT1) agonists
NLGN1,rs16857540,fluorouracil
SPRY2,rs117876855,capecitabine
SPRY2,rs139544515,capecitabine
COQ5,rs10849757,hmg coa reductase inhibitors
PLCB1,rs2745761,irinotecan
PLCB1,rs6108160,Selective serotonin reuptake inhibitors
HTR2A,rs7997012,olanzapine
HTR2A,rs6313,risperidone
HTR2A,rs6313,olanzapine
HTR2A,rs6313,olanzapine
HTR2A,rs6314,olanzapine
HTR2A,rs7997012,olanzapine
HTR2A,rs6311,citalopram
HTR2A,rs9567746,venlafaxine
HTR2A,rs2274639,venlafaxine
HTR2A,rs6311,venlafaxine
HTR2A,rs2770296,bupropion
HTR2A,rs6314,olanzapine
HTR2A,rs6313,sertraline
HTR2A,rs6313,citalopram
HTR2A,rs6311,antidepressants
HTR2A,rs6311,antidepressants
HTR2A,rs6313,antidepressants
HTR2A,rs7997012,antidepressants
HTR2A,rs659734,atorvastatin
HTR2A,rs659734,pravastatin
HTR2A,rs659734,simvastatin
HTR2A,rs6313,paroxetine
HTR2A,rs6312,atorvastatin
HTR2A,rs6312,pravastatin
HTR2A,rs6312,simvastatin
HTR2A,rs6314,paroxetine
HTR2A,rs6311,citalopram
HTR2A,rs6311,fluoxetine
HTR2A,rs6311,paroxetine
HTR2A,rs6311,sertraline
HTR2A,rs17289304,citalopram
HTR2A,rs17289304,fluoxetine
HTR2A,rs17289304,paroxetine
HTR2A,rs17289304,sertraline
HTR2A,rs6311,escitalopram
HTR2A,rs6311,fluoxetine
HTR2A,rs6311,fluvoxamine
HTR2A,rs6311,sertraline
HTR2A,rs6313,citalopram
HTR2A,rs6313,fluoxetine
HTR2A,rs6313,paroxetine
HTR2A,rs6313,sertraline
HTR2A,rs3803189,escitalopram
HTR2A,rs3803189,fluoxetine
HTR2A,rs3803189,fluvoxamine
HTR2A,rs3803189,sertraline
HTR2A,rs6311,citalopram
HTR2A,rs6311,paroxetine
HTR2A,rs6311,sertraline
HTR2A,rs6305,citalopram
HTR2A,rs6305,paroxetine
HTR2A,rs6305,sertraline
HTR2A,rs6311,fluvoxamine
HTR2A,rs6311,paroxetine
HTR2A,rs6311,escitalopram
HTR2A,rs6311,fluoxetine
HTR2A,rs6311,paroxetine
HTR2A,rs6311,sertraline
HTR2A,rs6311,venlafaxine
HTR2A,rs6313,escitalopram
HTR2A,rs6313,fluoxetine
HTR2A,rs6313,paroxetine
HTR2A,rs6313,sertraline
HTR2A,rs6313,venlafaxine
HTR2A,rs6311,Selective serotonin reuptake inhibitors
HTR2A,rs6311,citalopram
HTR2A,rs6311,escitalopram
HTR2A,rs6313,escitalopram
HTR2A,rs6311,citalopram
HTR2A,rs6313,citalopram
HTR2A,rs6313,citalopram
HTR2A,rs6313,fluoxetine
HTR2A,rs6311,fluoxetine
HTR2A,rs6314,fluoxetine
HTR2A,rs6305,fluoxetine
HTR2A,rs6311,fluoxetine
HTR2A,rs6313,fluoxetine
HTR2A,rs6313,fluoxetine
HTR2A,rs6313,sertraline
HTR2A,rs6313,sertraline
HTR2A,rs3742278,sertraline
HTR2A,rs6313,sertraline
HTR2A,rs7997012,sertraline
HTR2A,rs6313,sertraline
HTR2A,rs7997012,sertraline
HTR2A,rs6311,milnacipran
HTR2A,rs6311,venlafaxine
HTR2A,rs6313,venlafaxine
HTR2A,rs6311,paroxetine
HTR2A,rs6311,venlafaxine
HTR2A,rs6313,paroxetine
HTR2A,rs6313,citalopram
HTR2A,rs6311,escitalopram
HTR2A,rs6311,escitalopram
HTR2A,rs6311,escitalopram
HTR2A,rs6311,fluoxetine
HTR2A,rs6311,fluvoxamine
HTR2A,rs6311,sertraline
HTR2A,rs6311,escitalopram
HTR2A,rs6311,fluoxetine
HTR2A,rs6311,fluvoxamine
HTR2A,rs6311,sertraline
HTR2A,rs6311,citalopram
HTR2A,rs6311,escitalopram
HTR2A,rs6311,fluoxetine
HTR2A,rs6311,paroxetine
HTR2A,rs6311,sertraline
HTR2A,rs6311,escitalopram
HTR2A,rs6311,fluoxetine
HTR2A,rs6311,paroxetine
HTR2A,rs6311,sertraline
HTR2A,rs6311,venlafaxine
HTR2A,rs6313,sertraline
HTR2A,rs6313,sertraline
HTR2A,rs6311,fluvoxamine
HTR2A,rs6311,fluvoxamine
HTR2A,rs6311,fluvoxamine
HTR2A,rs6311,paroxetine
HTR2A,rs7997012,citalopram
HTR2A,rs7997012,escitalopram
HTR2A,rs7997012,fluoxetine
HTR2A,rs7997012,paroxetine
HTR2A,rs7997012,sertraline
HTR2A,rs6311,milnacipran
HTR2A,rs7997012,citalopram
HTR2A,rs7997012,escitalopram
HTR2A,rs7997012,fluoxetine
HTR2A,rs7997012,paroxetine
HTR2A,rs7997012,sertraline
HTR2A,rs7997012,sertraline
HTR2A,rs7997012,escitalopram
HTR2A,rs7997012,escitalopram
HTR2A,rs7997012,fluoxetine
HTR2A,rs7997012,duloxetine
HTR2A,rs6313,lithium
HTR2A,rs6311,escitalopram
HTR2A,rs6311,Selective serotonin reuptake inhibitors
HTR2A,rs9567733,antipsychotics
HTR2A,rs6311,risperidone
HTR2A,rs6313,risperidone
HTR2A,rs6313,clomipramine
HTR2A,rs6313,desvenlafaxine
HTR2A,rs6313,duloxetine
HTR2A,rs6313,moclobemide
HTR2A,rs6313,Selective serotonin reuptake inhibitors
HTR2A,rs6313,venlafaxine
HTR2A,rs6312,opioids
HTR2A,rs6311,opioids
HTR2A,rs6313,risperidone
HTR2A,rs6313,paroxetine
HTR2A,rs7997012,antidepressants
HTR2A,rs6313,antidepressants
HTR2A,rs6313,antidepressants
HTR2A,rs6311,antidepressants
HTR2A,rs6311,risperidone
HTR2A,rs6313,antidepressants
HTR2A,rs7997012,antidepressants
HTR2A,rs6311,antidepressants
HTR2A,rs6313,olanzapine
HTR2A,rs6313,risperidone
HTR2A,rs6313,olanzapine
HTR2A,rs7997012,citalopram
HTR2A,rs7997012,fluoxetine
HTR2A,rs7997012,paroxetine
HTR2A,rs6313,citalopram
HTR2A,rs6313,fluoxetine
HTR2A,rs6313,paroxetine
HTR2A,rs6313,fluvoxamine
HTR2A,rs6313,paroxetine
HTR2A,rs6313,fluvoxamine
HTR2A,rs6313,paroxetine
HTR2A,rs6313,fluvoxamine
HTR2A,rs6313,paroxetine
HTR2A,rs6311,antidepressants
HTR2A,rs7997012,antidepressants
HTR2A,rs6311,risperidone
HTR2A,rs7997012,morphine
HTR2A,rs7997012,nortriptyline
HTR2A,rs6313,citalopram
HTR2A,rs6313,sertraline
HTR2A,rs6311,citalopram
HTR2A,rs6311,sertraline
HTR2A,rs6314,antidepressants
HTR2A,rs6313,escitalopram
HTR2A,rs6311,escitalopram
HTR2A,rs7997012,escitalopram
HTR2A,rs6313,fluoxetine
HTR2A,rs6313,risperidone
HTR2A,rs6311,ustekinumab
HTR2A,rs6313,olanzapine
HTR2A,rs7997012,escitalopram
HTR2A,rs6311,fluvoxamine
HTR2A,rs6313,olanzapine
HTR2A,rs6311,buprenorphine
HTR2A,rs6311,methadone
HTR2A,rs6311,Selective serotonin reuptake inhibitors
HTR2A,rs7997012,Selective serotonin reuptake inhibitors
HTR2A,rs6311,nicotine
HTR2A,rs6313,mirtazapine
HTR2A,rs6313,paroxetine
HTR2A,rs6311,nicotine
HTR2A,rs6305,Analgesics
HTR2A,rs6305,"Antiinflammatory agents, non-steroids"
HTR2A,rs6305,Ergot alkaloids
HTR2A,rs6305,opioids
HTR2A,rs6305,sumatriptan
HTR2A,rs6313,citalopram
HTR2A,rs6313,citalopram
HTR2A,rs17288723,antidepressants
HTR2A,rs7997012,antidepressants
HTR2A,rs6311,antipsychotics
HTR2A,rs7997012,citalopram
HTR2A,rs7997012,antidepressants
HTR2A,rs1928040,Selective serotonin reuptake inhibitors
HTR2A,rs7997012,citalopram
HTR2A,rs7997012,fluvoxamine
HTR2A,rs7997012,paroxetine
HTR2A,rs7997012,sertraline
HTR2A,rs6314,paroxetine
HTR2A,rs6313,paroxetine
HTR2A,rs7997012,citalopram
HTR2A,rs9316233,escitalopram
HTR2A,rs6311,citalopram
HTR2A,rs6313,morphine
HTR2A,rs6313,nortriptyline
HTR2A,rs6311,citalopram
HTR2A,rs6311,fluoxetine
HTR2A,rs6311,paroxetine
HTR2A,rs6313,antipsychotics
HTR2A,rs6313,efavirenz
HTR2A,rs6311,fluvoxamine
HTR2A,rs6311,paroxetine
HTR2A,rs6311,opioids
HTR2A,rs6311,antipsychotics
HTR2A,rs7997012,antipsychotics
HTR2A,rs6311,escitalopram
HTR2A,rs6314,clozapine
HTR2A,rs6311,citalopram
HTR2A,rs6311,sertraline
HTR2A,rs6313,antidepressants
HTR2A,rs6313,propofol
HTR2A,rs6314,paroxetine
HTR2A,rs6311,fluvoxamine
HTR2A,rs6311,Selective serotonin reuptake inhibitors
HTR2A,rs7997012,venlafaxine
HTR2A,rs9316233,escitalopram
HTR2A,rs6311,Selective serotonin reuptake inhibitors
HTR2A,rs6311,risperidone
HTR2A,rs6313,duloxetine
HTR2A,rs6311,duloxetine
HTR2A,rs7997012,duloxetine
HTR2A,rs6314,antipsychotics
HTR2A,rs7997012,antipsychotics
STMN2,rs113889867,Selective serotonin reuptake inhibitors
SYT1,rs2251214,cocaine
SYT1,rs2251214,cocaine
KCNMB1,rs2301149,verapamil
KCNMB1,rs11739136,dexmedetomidine
KCNMB1,rs11739136,verapamil
KCNMB1,rs703505,tocilizumab
DPP6,rs2533200,ethanol
RORA,rs4774388,interferon beta-1a
RORA,rs809736,citalopram
WWOX,rs2550731,gemcitabine
WWOX,rs11644322,gemcitabine
WWOX,rs9927200,sorafenib
WWOX,rs4502225,antineoplastic agents
WWOX,rs13338697,cisplatin
WWOX,rs13338697,fluorouracil
WWOX,rs13338697,mitoxantrone
WWOX,rs13338697,cisplatin
WWOX,rs13338697,fluorouracil
LARP1B,rs4834232,cisplatin
SNAP25,rs3746544,methylphenidate
SNAP25,rs3746544,methylphenidate
SNAP25,rs1051312,antipsychotics
SNAP25,rs1051312,methylphenidate
SNAP25,rs1051312,methylphenidate
SNAP25,rs3746544,methylphenidate
SNAP25,rs3746544,methylphenidate
SNAP25,rs363020,methylphenidate
SNAP25,rs8636,amisulpride
SNAP25,rs3746544,methylphenidate
ASNS,rs3832526,l-asparagine
ASNS,rs3832526,prednisone
ASNS,rs3832526,vincristine
ASNS,rs1049674,l-asparagine
ASNS,rs1049674,prednisone
ASNS,rs1049674,vincristine
NEUROD1,rs1801262,repaglinide
NEUROD1,rs1801262,repaglinide
ALDH5A1,rs2760118,methadone
ALDH5A1,rs72552282,antiepileptics
ALDH5A1,rs72552282,levetiracetam
ALDH5A1,rs72552282,phenytoin
ALDH5A1,rs72552282,valproic acid
CERS6,rs13393173,adalimumab
CERS6,rs13393173,certolizumab pegol
CERS6,rs13393173,etanercept
CERS6,rs13393173,infliximab
CERS6,rs13393173,Tumor necrosis factor alpha (TNF-alpha) inhibitors
CERS6,rs13393173,Tumor necrosis factor alpha (TNF-alpha) inhibitors
CERS6,rs13022792,cisplatin
APOC1,rs4420638,hmg coa reductase inhibitors
APOC1,rs7412,warfarin
APOC1,rs429358,warfarin
APOC1,rs429358,"Antivirals for treatment of HIV infections, combinations"
APOC1,rs429358,ritonavir
APOC1,rs429358,acitretin
APOC1,rs7412,acitretin
APOC1,rs429358,warfarin
APOC1,rs7412,tenofovir
APOC1,rs7412,warfarin
DROSHA,rs2287584,asparaginase
DROSHA,rs2287584,cyclophosphamide
DROSHA,rs2287584,cytarabine
DROSHA,rs2287584,daunorubicin
DROSHA,rs2287584,mercaptopurine
DROSHA,rs2287584,methotrexate
DROSHA,rs2287584,prednisone
DROSHA,rs2287584,vincristine
DROSHA,rs4867329,asparaginase
DROSHA,rs4867329,cyclophosphamide
DROSHA,rs4867329,cytarabine
DROSHA,rs4867329,daunorubicin
DROSHA,rs4867329,mercaptopurine
DROSHA,rs4867329,methotrexate
DROSHA,rs4867329,prednisone
DROSHA,rs4867329,vincristine
DROSHA,rs3805500,asparaginase
DROSHA,rs3805500,cyclophosphamide
DROSHA,rs3805500,cytarabine
DROSHA,rs3805500,daunorubicin
DROSHA,rs3805500,mercaptopurine
DROSHA,rs3805500,methotrexate
DROSHA,rs3805500,prednisone
DROSHA,rs3805500,vincristine
DROSHA,rs639174,cyclophosphamide
DROSHA,rs639174,cytarabine
DROSHA,rs639174,daunorubicin
DROSHA,rs639174,mercaptopurine
DROSHA,rs639174,methotrexate
DROSHA,rs639174,prednisone
DROSHA,rs639174,vincristine
PDE4D,rs17742120,quetiapine
PDE4D,rs2164660,quetiapine
PDE4D,rs17382202,quetiapine
PDE4D,rs702553,diuretics
PDE4D,rs295943,apremilast
PDE4D,rs10556657,tildrakizumab
PDE4D,rs12658429,vincristine
SPATS2L,rs295114,salbutamol
SPATS2L,rs295137,salbutamol
SPATS2L,rs295137,salbutamol
SPATS2L,rs295137,salbutamol
RBFOX1,rs6500843,antineoplastic agents
SH2D5,rs10916852,gemcitabine
TUBB2A,rs9501929,cyclophosphamide
TUBB2A,rs9501929,epirubicin
TUBB2A,rs9501929,paclitaxel
TSPYL1,rs3828743,abiraterone
TSPYL1,rs3828743,prednisolone
TSPYL1,rs3828743,cyclosporine
TSPYL1,rs3828743,abiraterone
TSPYL1,rs3828743,prednisolone
GABRB2,rs2229944,carbamazepine
GABRB2,rs2229944,phenobarbital
GABRB2,rs2229944,phenytoin
GABRB2,rs2229944,valproic acid
PLCE1,rs932764,hydrochlorothiazide
CRH,rs4737771,antidepressants
OCRL,rs113165732,tenofovir
OCRL,rs757639,tenofovir
MAP2K4,rs2159140,ethanol
CYP2C18,rs2901783,warfarin
CYP2C18,rs41291550,warfarin
CYP2C18,rs1042192,clopidogrel
CYP2C18,rs1998591,acenocoumarol
CYP2C18,rs11188059,sertraline
CYP2C18,rs2860840,sertraline
CYP2C18,rs1126545,clozapine
CYP2C18,rs11188059,escitalopram
CYP2C18,rs2860840,escitalopram
CYP2C18,rs2901783,warfarin
CYP2C18,rs2860840,voriconazole
CYP2C18,rs11188059,voriconazole
CYP2C18,rs11188059,lansoprazole
CYP2C18,rs11188059,pantoprazole
CYP2C18,rs2860840,lansoprazole
CYP2C18,rs2860840,pantoprazole
ELAVL2,rs73482673,clozapine
TBXA2R,rs1131882,aspirin
TBXA2R,rs4523,aspirin
TBXA2R,rs5758,aspirin
TBXA2R,rs1131882,aspirin
TBXA2R,rs4523,aspirin
IGFBP7,rs11934877,Bisphosphonates
GALNT14,rs9679162,cisplatin
GALNT14,rs9679162,fluorouracil
GALNT14,rs9679162,mitoxantrone
GALNT14,rs9679162,cisplatin
GALNT14,rs9679162,fluorouracil
GALNT14,rs9679162,mitoxantrone
GALNT14,rs9679162,sorafenib
GALNT14,rs9679162,sorafenib
GALNT14,rs9679162,cisplatin
GALNT14,rs9679162,fluorouracil
GALNT14,rs9679162,doxorubicin
GALNT14,rs9679162,cisplatin
GALNT14,rs9679162,fluorouracil
GALNT14,rs9679162,mitoxantrone
GALNT14,rs12613732,cisplatin
GALNT14,rs12613732,fluorouracil
GALNT14,rs12613732,mitoxantrone
GALNT14,rs6752303,cisplatin
GALNT14,rs6752303,fluorouracil
GALNT14,rs6752303,mitoxantrone
GALNT14,rs10209881,cisplatin
GALNT14,rs10209881,fluorouracil
GALNT14,rs10209881,mitoxantrone
GALNT14,rs12999804,cisplatin
GALNT14,rs12999804,fluorouracil
GALNT14,rs12999804,mitoxantrone
GALNT14,rs5009910,cisplatin
GALNT14,rs5009910,fluorouracil
GALNT14,rs5009910,mitoxantrone
GALNT14,rs7608731,cisplatin
GALNT14,rs7608731,fluorouracil
GALNT14,rs7608731,mitoxantrone
PARD3B,rs17626122,fluorouracil
PARD3B,rs17626122,oxaliplatin
CAMK2N1,rs12023000,oxaliplatin
WWTR1,rs3811715,cetuximab
UCP2,rs659366,clopidogrel
UCP2,rs660339,antipsychotics
UCP2,rs659366,antipsychotics
UCP2,rs649446,antipsychotics
UCP2,rs586773,antipsychotics
UCP2,rs591758,antipsychotics
UCP2,rs655717,antipsychotics
NTRK2,rs4358872,methadone
NTRK2,rs2378676,methadone
NTRK2,rs1778929,clozapine
NTRK2,rs2289656,antidepressants
NTRK2,rs2289657,antidepressants
NTRK2,rs2289658,antidepressants
NTRK2,rs1778933,antidepressants
NTRK2,rs1187352,antidepressants
NTRK2,rs10868235,antidepressants
NTRK2,rs1867283,antidepressants
NTRK2,rs11140800,antidepressants
NTRK2,rs1147198,antidepressants
NTRK2,rs1187286,antidepressants
NTRK2,rs1387923,antidepressants
NTRK2,rs2289658,methadone
NTRK2,rs2120266,methadone
NTRK2,rs4877900,methadone
NTRK2,rs1187327,lithium
NTRK2,rs1387923,lithium
NTRK2,rs2289656,lithium
NTRK2,rs1187326,lithium
NTRK2,rs1565445,lithium
NTRK2,rs1565445,valproic acid
NTRK2,rs1387923,lithium
NTRK2,rs10465180,clozapine
NTRK2,rs1439050,antidepressants
NTRK2,rs3824519,antidepressants
NTRK2,rs1948308,methadone
NTRK2,rs1439050,antidepressants
ZNF568,rs10405238,opioids
CAP2,rs910039,Selective serotonin reuptake inhibitors
ATP10A,rs12913988,clopidogrel
ATP10A,rs12595802,duloxetine
GSTP1,rs1695,aspirin
GSTP1,rs1695,cyclophosphamide
GSTP1,rs1695,fluorouracil
GSTP1,rs1695,methotrexate
GSTP1,rs1695,cyclophosphamide
GSTP1,rs1695,doxorubicin
GSTP1,rs1695,epirubicin
GSTP1,rs1695,fluorouracil
GSTP1,rs1695,cisplatin
GSTP1,rs1695,bevacizumab
GSTP1,rs1695,capecitabine
GSTP1,rs1695,cisplatin
GSTP1,rs1695,docetaxel
GSTP1,rs1695,epirubicin
GSTP1,rs1695,oxaliplatin
GSTP1,rs1695,trastuzumab
GSTP1,rs1695,cisplatin
GSTP1,rs1695,radiotherapy
GSTP1,rs1695,cisplatin
GSTP1,rs1695,epirubicin
GSTP1,rs1695,fluorouracil
GSTP1,rs1695,fluorouracil
GSTP1,rs1695,leucovorin
GSTP1,rs1695,fluorouracil
GSTP1,rs1695,leucovorin
GSTP1,rs1695,cisplatin
GSTP1,rs1695,epirubicin
GSTP1,rs1695,fluorouracil
GSTP1,rs1138272,cisplatin
GSTP1,rs1138272,cyclophosphamide
GSTP1,rs1695,isoniazid
GSTP1,rs1695,mercaptopurine
GSTP1,rs1695,methotrexate
GSTP1,rs1695,methotrexate
GSTP1,rs1138272,cisplatin
GSTP1,rs1138272,cyclophosphamide
GSTP1,rs1695,cisplatin
GSTP1,rs1695,cyclophosphamide
GSTP1,rs1695,cisplatin
GSTP1,rs1695,cyclophosphamide
GSTP1,rs1695,cisplatin
GSTP1,rs1695,doxorubicin
GSTP1,rs1695,methotrexate
GSTP1,rs1695,cisplatin
GSTP1,rs1695,doxorubicin
GSTP1,rs1695,methotrexate
GSTP1,rs1695,cisplatin
GSTP1,rs1695,doxorubicin
GSTP1,rs1695,methotrexate
GSTP1,rs1695,doxorubicin
GSTP1,rs1695,doxorubicin
GSTP1,rs1695,clozapine
GSTP1,rs7952081,fluorouracil
GSTP1,rs7952081,oxaliplatin
GSTP1,rs1695,methotrexate
GSTP1,rs1695,temozolomide
GSTP1,rs1695,carboplatin
GSTP1,rs1695,paclitaxel
GSTP1,rs1695,lenalidomide
GSTP1,rs1695,asparaginase
GSTP1,rs1695,cyclophosphamide
GSTP1,rs1695,cytarabine
GSTP1,rs1695,doxorubicin
GSTP1,rs1695,mercaptopurine
GSTP1,rs1695,prednisone
GSTP1,rs1695,vincristine
GSTP1,rs1138272,thiotepa
GSTP1,rs1695,nilotinib
GSTP1,rs4147581,isoniazid
GSTP1,rs4147581,rifampin
GSTP1,rs1695,capecitabine
GSTP1,rs1695,epirubicin
GSTP1,rs1695,platinum
GSTP1,rs1138272,antineoplastic agents
GSTP1,rs1138272,corticosteroids
GSTP1,rs1695,dexamethasone
GSTP1,rs1695,diphenhydramine
